FAMILY,SPECIES,BODY LENGTH (mm),,,,,,,,OFFSPRING SIZE  (mm),,,,,,LONGEVITY (d),,,,,,GENERATIONS PER YEAR,,,,,,FECUNDITY,,,,EXPLANATORY VARIABLES (Y/N),,,,,
,,Male,ref.,Female,ref.,Mean (m+f),ref.,Mean (?sex),ref.,1st Instar,ref.,Egg Length,ref.,Egg Width,ref.,Nymph,ref.,Adult,ref.,Total,ref.,Voltinism,ref.,Univoltine,Bivoltine,Multivoltine,Semivoltine,Clutch Size,ref.,Clutches/yr,ref.,Habitat,Diet,Mating Syst.,Ovipos'n Site,Diapause St.,Act. Period
Acrididae,Abisares viridipennis,,,,,,,,,,,4.3,9,,,,,,,,,,,,,,,55,9,,,X,,,,,
Acrididae,Acanthacris ruficornis,,,,,,,,,,,6,9,,,,,,,,,,,,,,,166,9,,,X,,,,,
Acrididae,Acanthoxia gladiator,,,,,,,97.7,7,,,5.45,9,,,,,,,,,,,,,,,35,9,,,X,,,,,
Acrididae,Acrida bicolor,,,,,,,55.2,7,,,6.0375,9,,,,,,,,,,,,,,,59.5,9,,,X,,,,,
Acrididae,Acrida conica,,,,,,,,,9.3,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Acrida gigantea,,,,,,,,,,,4.875,10,0.625,10,,,,,,,,,,,,,58.5,10,,,,,,,,
Acrididae,Acridium fulvum,,,,,,,,,6.25,8,6.5,8,1.5,8,134,8,,,,,Univoltine,8,1,0,0,0,100,8,,,,,,X,X,
Acrididae,Acrolophitus hirtipes,,,,,,,,,,,7.11,55,1.76,55,,,,,,,,,,,,,11,55,,,,,,,,
Acrididae,Acrotylus angulatus,,,,,,,,,5,8,3.5,8,1.5,8,87,8,,,,,,,,,,,20,8,,,,,,,,
Acrididae,Acrotylus insubricus,,,,,,,,,,,,,,,,,,,,,Univoltine,7,1,0,0,0,,,,,,,,,,
Acrididae,Acrotylus patruelis,,,,,,,,,,,3.6,9,,,,,,,,,,,,,,,17,9,,,X,,,,,
Acrididae,Aeoloplides turnbulli,19.25,1,21.9,1,20.575,1,20.575,1,4.35,1,4.235,"1,55",1.26,55,55,1,,,,,Semivoltine,7,0,0,0,1,18.5,"1,55",,,X,X,,X,,X
Acrididae,Aeropedellus clavatus,17.25,1,20.25,1,18.75,1,18.75,1,6.25,1,5.05,1,,,36,1,,,,,Semivoltine,7,0,0,0,1,6.5,1,,,X,X,,X,X,
Acrididae,Afroxyrrhepes acuticercus,,,,,,,,,,,5.75,9,,,,,,,,,,,,,,,69.5,9,,,X,,,,,
Acrididae,Afroxyrrhepes procera,,,,,,,,,,,5.75,9,,,,,,,,,,,,,,,62.5,9,,,X,,,X,,
Acrididae,Ageneotettix deorum,15.85,1,22.5,1,19.175,1,19.175,1,4.9,1,4.945,"1,55",1.26,55,44,1,23,1,,,,,,,,,4.5,"1,55",,,X,,,X,X,X
Acrididae,Aiolopus longicornis,,,,,,,,,,,3.85,9,,,,,,,,,,,,,,,31,9,,,X,,,,,
Acrididae,Aiolopus thalassinus,17,2,23,2,20,2,20,2,4.65,"8,53",3.925,"8,9",1,8,64,8,,,,,Bivoltine,8,0,1,0,0,19.25,"8,9",,,X,,,,X,
Acrididae,Amblytropida mysteca,,,,,,,,,,,4.25,55,1.11,55,,,,,,,,,,,,,27,55,,,,,,,,
Acrididae,Amphitornus coloradus,19.05,1,23.25,1,21.15,1,21.15,1,6.15,1,4.95,1,,,53,1,,,,,Univoltine,1,1,0,0,0,4,1,,,X,X,,X,X,X
Acrididae,Anacridium melanorhodon,,,,,,,,,,,,,,,,,,,,,Univoltine,59,1,0,0,0,150,59,3,59,,,,,,
Acrididae,Anacridium wernerellum,,,,,,,,,,,,,,,,,,,,,Variable,59,1,1,0,0,,,,,,,,,,
Acrididae,Apotropis vittata,,,,,,,,,5.1,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Arcyptera fusca,29.5,2,35.5,2,32.5,2,32.5,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Arcyptera microptera,20.5,2,26.5,2,23.5,2,23.5,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Arphia conspersa,20.5,1,33.5,1,27,1,27,1,5.45,1,5.175,"1,55",1.44,55,,,,,,,Semivoltine,7,0,0,0,1,18.55,"1,55",,,X,,,X,,X
Acrididae,Arphia pseudonietana,21.5,1,28.25,1,24.875,1,24.875,1,5.45,1,4.7,1,,,49,1,,,,,,,,,,,29,1,,,X,,,X,X,X
Acrididae,Arphia simplex,,,,,,,,,,,5.26,55,1.34,55,,,,,,,,,,,,,32.7,55,,,,,,,,
Acrididae,Aulocara elliotti,18.5,1,21.25,1,19.875,1,19.875,1,5.65,1,5.35,1,,,,,20,1,,,Univoltine,1,1,0,0,0,,,,,X,,,X,X,X
Acrididae,Aulocara femoratum,16.05,1,22.5,1,19.275,1,19.275,1,6.4,1,4.95,1,,,,,,,,,,,,,,,10,1,,,X,X,,X,,X
Acrididae,Austracris basalis,,,,,,,,,9.2,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Austracris guttulosa,,,,,,,,,7.6,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Austracris proxima,,,,,,,,,5.2,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Austroicetes cruciata,,,,,,,,,4.2,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Austroicetes frater,,,,,,,,,4.8,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Austroicetes pusilla,,,,,,,,,4.2,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Austroicetes vulgaris,,,,,,,,,5.2,53,,,,,,,,,,,,,,,,,,,,,,,,,,
