Abisares viridipennis
Acanthacris ruficornis
Acanthoxia gladiator
Acrida bicolor
Acrida cinerea
Acrida conica
Acrida gigantea
Acrida oxycephala
Acridium fulvum
Acrolophitus hirtipes
Acrotylus angulatus
Acrotylus insubricus
Acrotylus patruelis
Aeoloplides turnbulli
Aeropedellus arcticus
Aeropedellus clavatus
Afroxyrrhepes acuticercus
Afroxyrrhepes procera
Ageneotettix deorum
Aiolopus longicornis
Aiolopus thalassinus
Amblytropida mysteca
Amphitornus coloradus
Anacridium melanorhodon
Anacridium wernerellum
Apotropis vittata
Arcyptera fusca
Arcyptera microptera
Arphia conspersa
Arphia pseudonietana
Arphia simplex
Aulocara elliotti
Aulocara femoratum
Austracris basalis
Austracris guttulosa
Austracris proxima
Austroicetes cruciata
Austroicetes frater
Austroicetes pusilla
Austroicetes vulgaris
Bermiella acuta
Bermius brachycerus
Boopedon gracile
Boopedon nubilum
Bootettix argentatus
Brachyexarna lobipennis
Bruneria bruneria
Bryodema tuberculata
Buforania crassa
Caledia captiva
Calephorops virdis
Calliptamus abbreviatus
Calliptamus barbarus
Calliptamus italicus
Camnula pellucida
Campylacantha olivacea
Cataloipus oberthuri
Catantops melanostictus
Cedarinia limbatella
Ceracris deflorata
Cirphula pyrrhocnemis
Chloealtis abdominalis
Chloroplus cactocaetes
Choroedocus capensis
Chorthippus albomarginatus
Chorthippus apricarius
Chorthippus brevicornis
Chorthippus biguttulus
Chorthippus brunneus
Chorthippus curtipennis
Chorthippus dorsatus
Chorthippus dubius
Chorthippus fallax
Chorthippus hsiai
Chorthippus intermedius
Chorthippus mollis
Chorthippus parallelus
Chorthippus pullus
Chorthippus qingzangensis
Chorthippus vagans
Chortoicetes terminifera
Chortophaga viridifasciata
Chrysocharon brachypterus
Chrysochraon dispar
Collitera variegata
Cordillacris crenulata
Cordillacris occipitalis
Coryphistes ruricola
Crucinotacris werneriana
Cryptobothrus chrysophorus
Cyrtacanthacris aeruginosa
Dactylotum bicolor
Dasyhippus barbipes
Dericorys annulata
Derotmema haydeni
Diabolocatantops axillaris
Dichromorpha viridis
Dichroplus maculipennis 
Dissosteira carolina
Dissosteira longipennis
Dnopherula pictipes
Dociostaurus maroccanus
Duronia chloronata
Ecphantus quadrilobus
Encoptolophus costalis
Encoptolophus sordidus
Eremippus qilianshanensis
Eremippus simplex
Eritettix abortivus
Eritettix simplex
Euchorthippus unicolor
Eumecistes gratiosus
Eupropacris cylindricollis
Exopropacris decipiens
Eyprepocnemis capitatus
Eyprepocnemis roseus
Faureia milajica
Fipurga crassa
Froggattina australis
Gastrimargus africanus
Gastrimargus marmoratus
Gastrimargus musicus
Gymnobothrus gracilis
Gymnobothrus temporalis
Gomphoceripppus rufus
Gomphocerus licenti
Gomphocerus sibiricus
Goniaea australasiae
Goniaea opomaloides
Goniaea vocans
Goniaeoidea rufotestacea
Hadrotettix trifasciatus
Heliastus subroseus
Hesperotettix speciosus
Hesperotettix virdis
Heteropternis obscurella
Hieroglyphodes assamensis
Hippiscus ocelote
Humbe tenuicornis
Hypochlora alba
Kosciuscola cognatus
Lactista azteca
Laxabilla smaragdina
Leptysma marginicollis
Locusta migratoria
Locustana pardalina
Macrotona australis
Macrotona securiformis
Mecostethus alliaceus
Melanoplus alpinus
Melanoplus angustipennis
Melanoplus bispinosus
Melanoplus bivittatus
Melanoplus borealis
Melanoplus bowditchi
Melanoplus bruneri
Melanoplus confusus
Melanoplus dawsoni
Melanoplus devastator
Melanoplus differentialis
Melanoplus dodgei
Melanoplus fasciatus
Melanoplus femurrubrum
Melanoplus foedus
Melanoplus frigidus
Melanoplus gladstoni
Melanoplus glaucipes
Melanoplus infantilis
Melanoplus keeleri
Melanoplus kennicotti
Melanoplus lakinus
Melanoplus mexicanus
Melanoplus occidentalis
Melanoplus packardii
Melanoplus plebejus
Melanoplus rugglesi
Melanoplus sanguinipes
Melanoplus scudderi
Mermiria bivittata
Mesopsera filum
Mesopsis laticornis
Metator pardalinus
Metaxymecus gracilipes
Miramella alpina
Morphacris fasciata
Myrmeleotettix maculatus
Myrmeleotettix palpalis
Nebulatettix subgracilis
Nomadacris septemfasciata
Oedaleonotus enigma
Oedaleus abruptus
Oedaleus australis
Oedaleus nigeriensis
Oedaleus nigrofasciatus
Oedaleus senegalensis
Oedipoda caerulescens
Omocestus haemorrhoidalis
Omocestus rufipes
Omocestus viridulus
Opeia obscura
Ornithacris cyanea
Orphulella pelidna
Orphulella speciosa
Orthacanthacris humilicrus
Orthochtha dasycnemis
Oxya japonica
Oxycatantops adustus
Paracinema tricolor
Parahieroglyphus bilineatus
Pardalophora phoenicoptera
Paraidemona mimica
Paraidemona punctata
Pardillana limbata
Peakesia brunnea
Peakesia hospita
Perbellia brevialata
Percassa rugifrons
Perelytrana rana
Perala viridis
Perunga ochracea
Phaedrotettix accola
Phaedrotettix dumicola
Phaedrotettix gracilis
Phaeocatantops decoratus
Phaulacridium vittatum
Phlaeoba panteli
Phlibostroma quadrimaculatum
Phoetaliotes nebrascensis
Pnorisa squalus
Podisma pedestris
Poecilocerastis striata
Praxibulus insolens
Psinidia amplicornus
Psinidia fenestralis
Psoloessa delicatula
Psoloessa texana
Psophus stridulus
Pycnostictus seriatus
Qualetta maculata
Rectitropis australis
Rhammatocerus schistocercoides
Rhaphotittha leai
Ronderosia bergi
Schistocerca americana
Schistocerca cancella
Schistocerca gregaria
Schistocerca lineata
Schistocerca piceifrons
Schizobothrus flavovittatus
Spathosternum prasiniferum
Spharagemon collare
Spharagemon equale
Sphingonotus caerulans
Stauroderus scalaris
Stenoborthus lineatus
Stenoborthus nigromaculatus
Stenoborthus stigmaticus
Stethophyma lineatum
Stethophyma grossum
Stropis maculosa
Syrbula admirabilis
Syrbula montezuma
Trachyrhachys aspera
Trachyrhachys kiowa
Trilophidia conturbata
Trimerotropis pallidipennis
Tolgadia bivittata
Tristria pallida
Truxalis burtti
Tylotropidius didymus
Urnisa guttulosa
Valanga irregularis
Xanthippus brooksi
Xanthippus corallipes
Xenocatantops humilis
Zebratula flavonigra
Anisoura nicobarica
Cratomelus armatus
Deinacrida carinata
Deinacrida connectens
Deinacrida fallai
Deinacrida heteracantha
Deinacrida mahoenui
Deinacrida parva
